drift_family,estimator,trial,beta,sign_error,mse,entropy_final,sign_prob_final
ou,x_pf,0,0.0,0.22,0.3388888286703013,0.9999837241772677,0.5023750261276217
ou,x_pf,1,0.0,0.54,0.23102454576408257,0.9998925299708846,0.5061028967689272
ou,x_pf,2,0.0,0.34,0.21056867955176323,0.998966428323611,0.5189241405678953
ou,x_pf,3,0.0,0.31,0.1987785927153191,0.9944145548658556,0.5439689475616145
ou,x_pf,4,0.0,0.51,1.2657383543488843,0.9686536743089798,0.6038503545424336
ou,x_pf,5,0.0,0.49,0.18063192451935556,0.993330523684389,0.5480406103079832
ou,x_pf,6,0.0,0.62,0.3183732741173808,0.9951080502447163,0.45884780174316064
ou,x_pf,7,0.0,0.51,0.35306700904804617,0.9999976967043829,0.4991065454646709
ou,x_pf,8,0.0,0.47,0.28251269309891514,0.9998606851026623,0.5069484753704085
ou,x_pf,9,0.0,0.46,0.5749909848476604,0.9667147703240159,0.6069896661215155
ou,x_pf,10,0.0,0.39,0.349966162742686,0.9998537537304731,0.4928807737766468
ou,x_pf,11,0.0,0.7,0.5454184745164151,0.9947241983418544,0.5427343375397188
ou,x_pf,12,0.0,0.67,0.3695482508148361,0.9997775695374382,0.4912202185587635
ou,x_pf,13,0.0,0.35,0.14824720118241783,0.9979934477716252,0.526364664721847
ou,x_pf,14,0.0,0.39,0.14553771464011317,0.9993154763328085,0.5154013084316041
ou,x_pf,15,0.0,0.33,0.2694350376065785,0.9990946318659344,0.5177118898497244
ou,x_pf,16,0.0,0.57,0.28341613060317233,0.999507957950734,0.4869420755098181
ou,x_pf,17,0.0,0.32,0.32258693876665184,0.9979369323733287,0.5267331978657177
ou,x_pf,18,0.0,0.75,0.9305945843423415,0.9988706605124291,0.5197812310354395
ou,x_pf,19,0.0,0.43,0.37225555813627836,0.9485610713385908,0.6327195091417908
ou,x_pf,20,0.0,0.35,1.0089520506411365,0.9999007701466772,0.4941357303904726
ou,x_pf,21,0.0,0.39,0.25312728178772714,0.9997468138815335,0.49063290392549375
ou,x_pf,22,0.0,0.33,0.4187703389408092,0.9992136579417353,0.5165068432272562
ou,x_pf,23,0.0,0.47,0.5699782256640217,0.9963764040317302,0.535423027603628
ou,x_pf,24,0.0,0.42,0.19316333006019792,0.9999182667741022,0.4946777784139948
ou,x_pf,25,0.0,0.68,0.40425766271982616,0.996509197972399,0.46523157034819695
ou,x_pf,26,0.0,0.47,0.33612462780816804,0.9964583949049511,0.4649796904702459
ou,x_pf,27,0.0,0.47,0.38742781587432407,0.9999556065330515,0.49607757149033427
ou,x_pf,28,0.0,0.31,0.4573981657621294,0.9987995232483513,0.47960543884530604
ou,x_pf,29,0.0,0.37,0.4438868928849578,0.9488586912418752,0.3676603479772651
ou,x_pf,30,0.0,0.43,0.5678469788728382,0.994553878159746,0.5434178044387913
ou,x_pf,31,0.0,0.44,0.32714505365077634,0.9993015954035503,0.5155566554114854
ou,x_pf,32,0.0,0.82,1.4975707710015556,0.9191409854933031,0.3341808151919444
ou,x_pf,33,0.0,0.47,0.21777919613246557,0.9996056089286292,0.5116907259755764
ou,x_pf,34,0.0,0.37,0.3875387713379526,0.9984058174364967,0.47649897791019535
ou,x_pf,35,0.0,0.33,0.2413261923479071,0.9990658331755542,0.48200867806601344
ou,x_pf,36,0.0,0.69,0.3230450523204519,0.9992942507190665,0.48436177198790653
ou,x_pf,37,0.0,0.49,0.2460878944657907,0.9999913112304284,0.5017353074713983
ou,x_pf,38,0.0,0.78,1.1699228926871854,0.9996814773232295,0.5105063515664985
