gain,estimator,trial,residual_var
0.0,x_only,0,0.8167393284214773
0.0,x_only,1,0.5763291135812663
0.0,x_only,2,0.21847790992429691
0.0,x_only,3,0.19088098908416792
0.0,x_only,4,0.25724139089964027
0.0,x_only,5,0.18508733816183226
0.0,x_only,6,0.6221844893557968
0.0,x_only,7,0.4801443957760129
0.0,x_only,8,0.46645304719506264
0.0,x_only,9,1.0825555423181665
0.0,x_only,10,0.20369875955754524
0.0,x_only,11,1.1675959110066836
0.0,x_only,12,0.22809947870267624
0.0,x_only,13,0.15374528284405214
0.0,x_only,14,0.4187894025292268
0.0,x_only,15,0.571998842962576
0.0,x_only,16,0.41364490530680487
0.0,x_only,17,0.15335236422413248
0.0,x_only,18,0.463561251805269
0.0,x_only,19,0.20520890011896928
0.0,x_only,20,0.34335101282457026
0.0,x_only,21,0.9398411647005369
0.0,x_only,22,0.48346150595772414
0.0,x_only,23,0.35958545162350175
0.0,x_only,24,0.7489804907854111
0.0,x_only,25,0.6156181083659344
0.0,x_only,26,0.17817764039222747
0.0,x_only,27,0.44370185446540394
0.0,x_only,28,0.7983269589816686
0.0,x_only,29,0.15813728017044384
0.0,x_only,30,0.46971655669970147
0.0,x_only,31,0.7381791975557807
0.0,x_only,32,0.18931538016988717
0.0,x_only,33,0.7671585954551339
0.0,x_only,34,0.347291135805677
0.0,x_only,35,0.24461704404082774
0.0,x_only,36,0.42751235004021615
0.0,x_only,37,0.3839175242768764
0.0,x_only,38,1.1831144372327258
0.0,x_only,39,0.31588948652389304
0.0,x_only,40,0.20746112000113634
0.0,x_only,41,0.28640769579936387
0.0,x_only,42,0.17170933342517342
0.0,x_only,43,0.33846720883679743
0.0,x_only,44,0.3421335065579244
0.0,x_only,45,0.8647762896763957
0.0,x_only,46,0.8887390014084428
0.0,x_only,47,0.42342628149216366
0.0,x_only,48,0.247365107176099
0.0,x_only,49,0.6610545974749583
0.0,x_only,50,0.40382823198692586
0.0,x_only,51,0.2805791624011431
0.0,x_only,52,1.1935247882537119
0.0,x_only,53,0.2928281877989811
0.0,x_only,54,0.9343464152693983
0.0,x_only,55,0.30103620675872267
0.0,x_only,56,0.5446964982167225
0.0,x_only,57,1.0122217167565477
0.0,x_only,58,0.13798420460722172
0.0,x_only,59,0.7473399708761501
0.0,xy,0,0.2713755711877575
0.0,xy,1,0.23239719069344794
0.0,xy,2,0.47508268455403735
0.0,xy,3,1.7333659608260508
0.0,xy,4,0.20070887619615033
0.0,xy,5,0.3003005105379132
0.0,xy,6,1.643357309814932
0.0,xy,7,0.3877748146117988
0.0,xy,8,0.4330088831444447
0.0,xy,9,0.5348345074157915
0.0,xy,10,0.7596730866069009
0.0,xy,11,0.3581187413316836
0.0,xy,12,0.1899914567616429
0.0,xy,13,0.4109356535111771
0.0,xy,14,0.40855512489004936
0.0,xy,15,0.36903096574363686
0.0,xy,16,0.43292475440163536
0.0,xy,17,1.639988633771038
0.0,xy,18,0.7857429224658535
0.0,xy,19,0.4728410679934772
0.0,xy,20,0.7942622448449105
0.0,xy,21,0.40858572944871324
0.0,xy,22,0.39721907899338194
0.0,xy,23,0.9396738654073392
0.0,xy,24,0.42452887643174364
0.0,xy,25,0.19868941619587088
0.0,xy,26,0.20836316351790563
0.0,xy,27,0.33807389810950655
0.0,xy,28,0.27003332470384683
0.0,xy,29,0.4211687507100316
0.0,xy,30,0.9645187394118991
0.0,xy,31,0.3830720039234113
0.0,xy,32,0.5604974609255948
0.0,xy,33,0.22661248402383444
0.0,xy,34,0.785414758192501
0.0,xy,35,0.3372615318443352
0.0,xy,36,0.8450787181573969
0.0,xy,37,0.21096099124838863
0.0,xy,38,0.38361553755822625
0.0,xy,39,0.28333564982276427
0.0,xy,40,0.3718291254012482
0.0,xy,41,0.9534346679527284
0.0,xy,42,0.26499445407627314
0.0,xy,43,0.37036246861424504
0.0,xy,44,0.22594545979478947
0.0,xy,45,1.4886706377902224
0.0,xy,46,0.3710242865778043
0.0,xy,47,0.16293711417921275
0.0,xy,48,0.30991103032170064
0.0,xy,49,0.28343262544507875
0.0,xy,50,1.4206964093279593
0.0,xy,51,0.83122609566693
0.0,xy,52,0.40840186086357094
0.0,xy,53,0.8851141231551946
0.0,xy,54,0.940720588480302
0.0,xy,55,0.22550032521922556
0.0,xy,56,0.5573057543434413
0.0,xy,57,1.1310502115662497
0.0,xy,58,0.7646127149004126
0.0,xy,59,0.71929606258931
0.2,x_only,0,0.2552342841408886
0.2,x_only,1,0.2410528623394777
0.2,x_only,2,0.3817856246128155
0.2,x_only,3,0.3961502549238367
0.2,x_only,4,0.4692959990503754
0.2,x_only,5,0.6121757544770843
0.2,x_only,6,0.298405356399906
0.2,x_only,7,0.6227703766275359
0.2,x_only,8,0.6566242484102642
0.2,x_only,9,0.2937104729329454
0.2,x_only,10,0.2774106592619116
0.2,x_only,11,0.23553366626486047
0.2,x_only,12,0.21756561166989546
0.2,x_only,13,0.6064397785023541
0.2,x_only,14,0.5819031326823554
0.2,x_only,15,0.23713770729512987
0.2,x_only,16,0.2515960006553319
0.2,x_only,17,0.16134343187858657
0.2,x_only,18,0.1743719652141757
0.2,x_only,19,0.30424039355725696
0.2,x_only,20,0.40835631765506264
0.2,x_only,21,0.5127922523211794
0.2,x_only,22,0.2060075593031227
0.2,x_only,23,0.5752184375718393
0.2,x_only,24,0.19493098037772932
0.2,x_only,25,0.2873304609869316
0.2,x_only,26,0.156190711162882
0.2,x_only,27,0.25437038392547184
0.2,x_only,28,0.6787702338154817
0.2,x_only,29,0.26974381796454794
0.2,x_only,30,0.12928318882567255
0.2,x_only,31,0.18271918454440483
0.2,x_only,32,0.2118304534875161
0.2,x_only,33,0.2339942125677856
0.2,x_only,34,0.5139951656116546
0.2,x_only,35,0.3327143588430948
0.2,x_only,36,0.14913936690013846
0.2,x_only,37,0.32028159904070586
0.2,x_only,38,0.37513070712615054
0.2,x_only,39,0.24284735259938997
0.2,x_only,40,0.36257144996703017
0.2,x_only,41,0.3774174159010315
0.2,x_only,42,0.2541272518280881
0.2,x_only,43,0.21329617895466252
0.2,x_only,44,0.6315905886822889
0.2,x_only,45,0.34075397337227387
0.2,x_only,46,0.7113530272931087
0.2,x_only,47,0.7881486194864408
0.2,x_only,48,0.4862311909537438
0.2,x_only,49,0.10918184033057685
0.2,x_only,50,0.25135102364653295
0.2,x_only,51,0.6123265017135292
0.2,x_only,52,0.26817324117695773
0.2,x_only,53,0.6010589337412771
0.2,x_only,54,0.3099280692173515
0.2,x_only,55,0.42903928641849487
0.2,x_only,56,0.25166405321662405
0.2,x_only,57,0.3953256859805034
0.2,x_only,58,0.14552906169749505
0.2,x_only,59,0.3541056695964007
0.2,xy,0,0.11439588669618596
0.2,xy,1,0.08524274649529358
0.2,xy,2,0.09622981728907072
0.2,xy,3,0.11878618761290903
0.2,xy,4,0.10409514803909305
0.2,xy,5,0.13189465215017437
0.2,xy,6,0.09065890740439198
0.2,xy,7,0.09261625861424136
0.2,xy,8,0.16008835163466645
0.2,xy,9,0.1002411730982772
0.2,xy,10,0.10881703294390195
0.2,xy,11,0.13938236077732566
0.2,xy,12,0.12451578440756877
0.2,xy,13,0.08008368604130345
0.2,xy,14,0.0884588020076809
0.2,xy,15,0.13656027501320475
0.2,xy,16,0.10597309111922856
0.2,xy,17,0.12958776273741723
0.2,xy,18,0.09193569095829517
0.2,xy,19,0.047217170732137284
0.2,xy,20,0.11323398310080857
0.2,xy,21,0.1436426684596643
0.2,xy,22,0.12032098734224136
0.2,xy,23,0.14268642780614943
0.2,xy,24,0.09288165368841686
0.2,xy,25,0.13394188825016623
0.2,xy,26,0.09513024514237774
0.2,xy,27,0.07973225579141324
0.2,xy,28,0.1521898966793126
0.2,xy,29,0.10222531280282172
0.2,xy,30,0.09362492450675257
0.2,xy,31,0.13394843339962556
0.2,xy,32,0.10180047986842788
0.2,xy,33,0.0954948519426617
0.2,xy,34,0.10728493107184028
0.2,xy,35,0.11893430020679148
0.2,xy,36,0.14691469428333148
0.2,xy,37,0.15148905911224403
0.2,xy,38,0.10900887950177676
0.2,xy,39,0.1440950881775029
0.2,xy,40,0.07672703969376918
0.2,xy,41,0.08062090802004429
0.2,xy,42,0.07068147809888639
0.2,xy,43,0.12277115247028782
0.2,xy,44,0.06535290956796239
0.2,xy,45,0.11023874797364976
0.2,xy,46,0.1569674887197441
0.2,xy,47,0.08447859071707932
0.2,xy,48,0.10893464395717416
0.2,xy,49,0.08280569171830614
0.2,xy,50,0.11135153432507151
0.2,xy,51,0.1013260242355868
0.2,xy,52,0.09260060502086871
0.2,xy,53,0.1522183834132905
0.2,xy,54,0.1602944518811145
0.2,xy,55,0.13065875019809056
0.2,xy,56,0.10990061092183329
0.2,xy,57,0.11175404234379632
0.2,xy,58,0.14938265368411152
0.2,xy,59,0.12922167456639883
0.4,x_only,0,0.2519806823228769
0.4,x_only,1,0.35204080801435317
0.4,x_only,2,0.1838980821485017
0.4,x_only,3,0.13509183456321308
0.4,x_only,4,0.21367775420769686
0.4,x_only,5,0.184389907653812
0.4,x_only,6,0.3030204639289128
0.4,x_only,7,0.17803181994519082
0.4,x_only,8,0.3691178278827034
0.4,x_only,9,0.23973616236518897
0.4,x_only,10,0.1951358355601979
