axis,axis_value,estimator,trial,sign_error
sigma_obs,0.05,oracle_x,53,0.52
sigma_obs,0.05,oracle_x,54,0.52
sigma_obs,0.05,oracle_x,55,0.5
sigma_obs,0.05,oracle_x,56,0.53
sigma_obs,0.05,oracle_x,57,0.54
sigma_obs,0.05,oracle_x,58,0.42
sigma_obs,0.05,oracle_x,59,0.48
sigma_obs,0.05,oracle_x,60,0.48
sigma_obs,0.05,oracle_x,61,0.5
sigma_obs,0.05,oracle_x,62,0.54
sigma_obs,0.05,oracle_x,63,0.5
sigma_obs,0.05,oracle_x,64,0.52
sigma_obs,0.05,oracle_x,65,0.46
sigma_obs,0.05,oracle_x,66,0.49
sigma_obs,0.05,oracle_x,67,0.51
sigma_obs,0.05,oracle_x,68,0.53
sigma_obs,0.05,oracle_x,69,0.48
sigma_obs,0.05,oracle_x,70,0.53
sigma_obs,0.05,oracle_x,71,0.53
sigma_obs,0.05,oracle_x,72,0.42
sigma_obs,0.05,oracle_x,73,0.52
sigma_obs,0.05,oracle_x,74,0.49
sigma_obs,0.05,oracle_x,75,0.53
sigma_obs,0.05,oracle_x,76,0.51
sigma_obs,0.05,oracle_x,77,0.43
sigma_obs,0.05,oracle_x,78,0.52
sigma_obs,0.05,oracle_x,79,0.51
sigma_obs,0.05,oracle_x,80,0.54
sigma_obs,0.05,oracle_x,81,0.5
sigma_obs,0.05,oracle_x,82,0.52
sigma_obs,0.05,oracle_x,83,0.53
sigma_obs,0.05,oracle_x,84,0.57
sigma_obs,0.05,oracle_x,85,0.5
sigma_obs,0.05,oracle_x,86,0.48
sigma_obs,0.05,oracle_x,87,0.53
sigma_obs,0.05,oracle_x,88,0.46
sigma_obs,0.05,oracle_x,89,0.41
sigma_obs,0.05,oracle_x,90,0.55
sigma_obs,0.05,oracle_x,91,0.47
sigma_obs,0.05,oracle_x,92,0.44
sigma_obs,0.05,oracle_x,93,0.54
sigma_obs,0.05,oracle_x,94,0.53
sigma_obs,0.05,oracle_x,95,0.55
sigma_obs,0.05,oracle_x,96,0.45
sigma_obs,0.05,oracle_x,97,0.44
sigma_obs,0.05,oracle_x,98,0.46
sigma_obs,0.05,oracle_x,99,0.5
sigma_obs,0.05,xy_snapshot,0,0.28
sigma_obs,0.05,xy_snapshot,1,0.15
sigma_obs,0.05,xy_snapshot,2,0.18
sigma_obs,0.05,xy_snapshot,3,0.2
sigma_obs,0.05,xy_snapshot,4,0.31
sigma_obs,0.05,xy_snapshot,5,0.36
sigma_obs,0.05,xy_snapshot,6,0.19
sigma_obs,0.05,xy_snapshot,7,0.17
sigma_obs,0.05,xy_snapshot,8,0.18
sigma_obs,0.05,xy_snapshot,9,0.21
sigma_obs,0.05,xy_snapshot,10,0.18
sigma_obs,0.05,xy_snapshot,11,0.3
sigma_obs,0.05,xy_snapshot,12,0.32
sigma_obs,0.05,xy_snapshot,13,0.27
sigma_obs,0.05,xy_snapshot,14,0.12
sigma_obs,0.05,xy_snapshot,15,0.23
sigma_obs,0.05,xy_snapshot,16,0.16
sigma_obs,0.05,xy_snapshot,17,0.24
sigma_obs,0.05,xy_snapshot,18,0.1
sigma_obs,0.05,xy_snapshot,19,0.19
sigma_obs,0.05,xy_snapshot,20,0.23
sigma_obs,0.05,xy_snapshot,21,0.27
sigma_obs,0.05,xy_snapshot,22,0.15
sigma_obs,0.05,xy_snapshot,23,0.27
sigma_obs,0.05,xy_snapshot,24,0.17
sigma_obs,0.05,xy_snapshot,25,0.19
sigma_obs,0.05,xy_snapshot,26,0.14
sigma_obs,0.05,xy_snapshot,27,0.22
sigma_obs,0.05,xy_snapshot,28,0.22
sigma_obs,0.05,xy_snapshot,29,0.2
sigma_obs,0.05,xy_snapshot,30,0.22
sigma_obs,0.05,xy_snapshot,31,0.24
sigma_obs,0.05,xy_snapshot,32,0.35
sigma_obs,0.05,xy_snapshot,33,0.28
sigma_obs,0.05,xy_snapshot,34,0.25
sigma_obs,0.05,xy_snapshot,35,0.22
sigma_obs,0.05,xy_snapshot,36,0.2
sigma_obs,0.05,xy_snapshot,37,0.2
sigma_obs,0.05,xy_snapshot,38,0.21
sigma_obs,0.05,xy_snapshot,39,0.32
sigma_obs,0.05,xy_snapshot,40,0.06
sigma_obs,0.05,xy_snapshot,41,0.15
sigma_obs,0.05,xy_snapshot,42,0.25
sigma_obs,0.05,xy_snapshot,43,0.18
sigma_obs,0.05,xy_snapshot,44,0.24
sigma_obs,0.05,xy_snapshot,45,0.22
sigma_obs,0.05,xy_snapshot,46,0.22
sigma_obs,0.05,xy_snapshot,47,0.28
sigma_obs,0.05,xy_snapshot,48,0.14
sigma_obs,0.05,xy_snapshot,49,0.18
sigma_obs,0.05,xy_snapshot,50,0.2
sigma_obs,0.05,xy_snapshot,51,0.23
sigma_obs,0.05,xy_snapshot,52,0.28
sigma_obs,0.05,xy_snapshot,53,0.18
sigma_obs,0.05,xy_snapshot,54,0.24
sigma_obs,0.05,xy_snapshot,55,0.13
sigma_obs,0.05,xy_snapshot,56,0.16
sigma_obs,0.05,xy_snapshot,57,0.17
sigma_obs,0.05,xy_snapshot,58,0.32
sigma_obs,0.05,xy_snapshot,59,0.25
sigma_obs,0.05,xy_snapshot,60,0.22
sigma_obs,0.05,xy_snapshot,61,0.34
sigma_obs,0.05,xy_snapshot,62,0.1
sigma_obs,0.05,xy_snapshot,63,0.25
sigma_obs,0.05,xy_snapshot,64,0.14
sigma_obs,0.05,xy_snapshot,65,0.14
sigma_obs,0.05,xy_snapshot,66,0.21
sigma_obs,0.05,xy_snapshot,67,0.15
sigma_obs,0.05,xy_snapshot,68,0.2
sigma_obs,0.05,xy_snapshot,69,0.19
sigma_obs,0.05,xy_snapshot,70,0.2
sigma_obs,0.05,xy_snapshot,71,0.39
sigma_obs,0.05,xy_snapshot,72,0.21
sigma_obs,0.05,xy_snapshot,73,0.28
sigma_obs,0.05,xy_snapshot,74,0.27
sigma_obs,0.05,xy_snapshot,75,0.19
sigma_obs,0.05,xy_snapshot,76,0.13
sigma_obs,0.05,xy_snapshot,77,0.18
sigma_obs,0.05,xy_snapshot,78,0.28
sigma_obs,0.05,xy_snapshot,79,0.22
sigma_obs,0.05,xy_snapshot,80,0.36
sigma_obs,0.05,xy_snapshot,81,0.3
sigma_obs,0.05,xy_snapshot,82,0.28
sigma_obs,0.05,xy_snapshot,83,0.31
sigma_obs,0.05,xy_snapshot,84,0.21
sigma_obs,0.05,xy_snapshot,85,0.28
sigma_obs,0.05,xy_snapshot,86,0.11
sigma_obs,0.05,xy_snapshot,87,0.32
sigma_obs,0.05,xy_snapshot,88,0.27
sigma_obs,0.05,xy_snapshot,89,0.19
sigma_obs,0.05,xy_snapshot,90,0.24
sigma_obs,0.05,xy_snapshot,91,0.2
sigma_obs,0.05,xy_snapshot,92,0.28
sigma_obs,0.05,xy_snapshot,93,0.32
sigma_obs,0.05,xy_snapshot,94,0.14
sigma_obs,0.05,xy_snapshot,95,0.24
sigma_obs,0.05,xy_snapshot,96,0.33
sigma_obs,0.05,xy_snapshot,97,0.28
sigma_obs,0.05,xy_snapshot,98,0.37
sigma_obs,0.05,xy_snapshot,99,0.25
sigma_obs,0.1,x_pf,0,0.63
sigma_obs,0.1,x_pf,1,0.2
sigma_obs,0.1,x_pf,2,0.65
sigma_obs,0.1,x_pf,3,0.67
sigma_obs,0.1,x_pf,4,0.4
