regime,theta_1,theta_2,c12,c21,trial,sign_error_q1,sign_error_q2
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,1,0.5266666666666666,0.02666666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,2,0.5533333333333333,0.5733333333333334
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,3,0.47333333333333333,0.3466666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,4,0.35333333333333333,0.013333333333333334
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,5,0.4533333333333333,0.18
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,6,0.62,0.25333333333333335
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,7,0.6,0.36
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,8,0.5,0.64
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,9,0.5933333333333334,0.1
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,10,0.4066666666666667,0.24
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,11,0.44666666666666666,0.02
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,12,0.5266666666666666,0.6066666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,13,0.5066666666666667,0.26
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,14,0.38,0.04
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,15,0.7066666666666667,0.14666666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,16,0.4533333333333333,0.11333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,17,0.3466666666666667,0.13333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,18,0.5133333333333333,0.38
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,19,0.5133333333333333,0.4
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,20,0.7666666666666667,0.5333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,21,0.41333333333333333,0.37333333333333335
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,22,0.6933333333333334,0.4666666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,23,0.42,0.5933333333333334
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,24,0.35333333333333333,0.47333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,25,0.5266666666666666,0.19333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,26,0.38666666666666666,0.22
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,27,0.48,0.12666666666666668
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,28,0.26666666666666666,0.3333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,29,0.6266666666666667,0.5133333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,30,0.7133333333333334,0.49333333333333335
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,31,0.22666666666666666,0.09333333333333334
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,32,0.26666666666666666,0.32666666666666666
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,33,0.5133333333333333,0.29333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,34,0.5066666666666667,0.38
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,35,0.78,0.21333333333333335
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,36,0.37333333333333335,0.5466666666666666
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,37,0.6733333333333333,0.24
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,38,0.31333333333333335,0.24666666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,39,0.6533333333333333,0.22666666666666666
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,40,0.5666666666666667,0.02666666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,41,0.4,0.19333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,42,0.5133333333333333,0.35333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,43,0.64,0.2866666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,44,0.38,0.06
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,45,0.5266666666666666,0.2866666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,46,0.5533333333333333,0.14666666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,47,0.5066666666666667,0.46
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,48,0.5733333333333334,0.11333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,49,0.48,0.11333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,50,0.6,0.15333333333333332
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,51,0.58,0.4533333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,52,0.16666666666666666,0.18
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,53,0.5133333333333333,0.29333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,54,0.54,0.3333333333333333
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,55,0.6866666666666666,0.28
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,56,0.74,0.28
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,57,0.37333333333333335,0.6
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,58,0.5866666666666667,0.2866666666666667
"B: theta_2!=0, c=0",0.0,0.3202563076101742,0.0,0.0,59,0.6133333333333333,0.76
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,0,0.0,0.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,1,0.5733333333333334,0.5666666666666667
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,2,0.17333333333333334,0.35333333333333333
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,3,0.9933333333333333,1.0
C: spectator c=0.05,0.0,0.3202563076101742,0.05,0.05,4,0.16,0.19333333333333333
